Date,Time,Ptch(rad),Roll(rad),Yaw(rad),RxBt(V),Curr(A),Capa(mAh),Bat_(%),1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),FM,GPS,GSpd(kmh),Hdg(@),Alt(m),Sats,Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2021-08-14,18:40:45.810,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.00,0,0,-5,-1,-1024,2,-22,-1024,1024,0,0,1017,1024,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2021-08-14,18:40:46.810,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.00,0,0,-3,-1,-1024,2,-22,-1024,1024,0,0,1020,1024,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2021-08-14,18:40:47.850,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.00,0,0,-3,-1,-1024,2,-22,-1024,1024,0,0,1020,1024,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2021-08-14,18:40:48.850,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.00,0,0,-3,-1,-1024,2,-22,-1024,1024,0,0,1020,1019,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2021-08-14,18:40:49.850,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.00,0,0,-3,0,-1024,2,-22,-1024,1024,0,0,1020,1024,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2021-08-14,18:40:50.850,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.00,0,0,-5,0,-1024,2,-22,-1024,1024,0,0,1020,1024,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2021-08-14,18:40:51.850,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.00,0,0,-3,-1,-1024,2,-22,-1024,1024,0,0,1020,1024,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2021-08-14,18:40:52.850,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.00,0,0,-3,-1,-1024,2,-22,-1024,1024,0,0,1020,1019,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2021-08-14,18:40:53.850,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.00,0,0,-3,-1,-1024,2,-22,-1024,1024,0,0,1020,1024,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2021-08-14,18:40:54.850,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.00,0,0,-5,-1,-1024,4,-22,-1024,1024,0,0,1020,1024,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2021-08-14,18:40:55.850,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.00,0,0,-3,-1,-1024,2,-22,-1024,1024,0,0,1020,1024,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2021-08-14,18:40:56.850,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.00,0,0,-3,0,-1024,2,-22,-1024,1024,0,0,1020,1024,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2021-08-14,18:40:57.850,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.00,0,0,-3,-1,-1024,2,-22,-1024,1024,0,0,1017,1024,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2021-08-14,18:40:58.850,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.00,0,0,-3,-1,-1024,4,-22,-1024,1024,0,0,1020,1024,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2021-08-14,18:40:59.850,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.00,0,0,-3,-1,-1024,2,-22,-1024,1024,0,0,1020,1024,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2021-08-14,18:41:00.850,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.00,0,0,-3,-1,-1024,2,-22,-1024,1024,0,0,1020,1019,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2021-08-14,18:41:01.850,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.00,0,0,-3,0,-1024,2,-22,-1024,1024,0,0,1017,1024,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2021-08-14,18:41:02.850,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.00,0,0,-3,-1,-1024,4,-22,-1024,1024,0,0,1020,1024,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2021-08-14,18:41:03.850,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.00,0,0,-3,0,-1024,2,-22,-1024,1024,0,0,1020,1019,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2021-08-14,18:41:04.850,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.00,0,0,-3,0,-1024,2,-22,-1024,1024,0,0,1020,1024,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2021-08-14,18:41:05.850,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.00,0,0,-3,0,-1024,2,-22,-1024,1024,0,0,1017,1024,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2021-08-14,18:41:06.850,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.00,0,0,-3,-1,-1024,2,-22,-1024,1024,0,0,1020,1024,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2021-08-14,18:41:07.850,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.00,0,0,-3,-1,-1024,4,-22,-1024,1024,0,0,1020,1024,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2021-08-14,18:41:08.860,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.00,0,0,-5,-1,-1024,2,-22,-1024,1024,0,0,1017,1024,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2021-08-14,18:41:09.860,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.00,0,0,-3,0,-1024,2,-22,-1024,1024,0,0,1020,1024,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2021-08-14,18:41:10.860,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.00,0,0,-3,0,-1024,2,-22,-1024,1024,0,0,1020,1024,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2021-08-14,18:41:11.860,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.00,0,0,-5,-1,-1024,2,-22,-1024,1024,0,0,1017,1024,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2021-08-14,18:41:12.860,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.00,0,0,-3,0,-1024,2,-22,-1024,1024,0,0,1020,1019,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2021-08-14,18:41:13.860,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.00,0,0,-3,0,-1024,4,-22,-1024,1024,0,0,1020,1019,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2021-08-14,18:41:14.860,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.00,0,0,-3,0,-1024,2,-22,-1024,1024,0,0,1020,1024,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2021-08-14,18:41:15.860,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.00,0,0,-5,-1,-1024,2,-22,-1024,1024,0,0,1017,1024,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2021-08-14,18:41:16.860,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.00,0,0,-3,0,-1024,2,-22,-1024,1024,0,0,1020,1024,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2021-08-14,18:41:17.860,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.00,0,0,-3,-1,-1024,4,-22,-1024,1024,0,0,1020,1024,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2021-08-14,18:41:18.860,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.00,0,0,-3,0,-1024,2,-22,-1024,1024,0,0,1017,1024,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2021-08-14,18:41:19.860,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.00,0,0,-3,-1,-1024,4,-22,-1024,1024,0,0,1020,1024,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2021-08-14,18:41:20.860,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.00,0,0,-3,0,-1024,2,-22,-1024,1024,0,0,1020,1024,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2021-08-14,18:41:21.900,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.00,0,0,-5,-1,-1024,2,-22,-1024,1024,0,0,1020,1024,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2021-08-14,18:41:22.900,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.00,0,0,-3,0,-1024,2,-22,-1024,1024,0,0,1020,1019,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2021-08-14,18:41:23.900,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.00,0,0,-3,-1,-1024,2,-22,-1024,1024,0,0,1017,1024,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2021-08-14,18:41:24.900,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.00,0,0,-3,-1,-1024,2,-22,-1024,1024,0,0,1017,1024,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2021-08-14,18:41:25.900,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.00,0,0,-3,-1,-1024,2,-22,-1024,1024,0,0,1020,1024,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
